created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri May 19 05:11:26 +0000 2023;1659426514935635968;"Promo serba 18RIBU di semua toko Menantea🤩 https://t.co/HShZdDQ2qu";0;1;4;23;in;1379271543021133828;1659426514935635968;tokomenantea;https://twitter.com/tokomenantea/status/1659426514935635968
Thu May 18 16:37:53 +0000 2023;1659236875972771861;"Menantea yang oolong milk tea enak banget pantes 10K 🤣";0;0;0;1;in;107729782;1659236875972771861;vienta_sibarani;https://twitter.com/vienta_sibarani/status/1659236875972771861
Thu May 18 15:59:11 +0000 2023;1659227139152150529;"@Heraloebss itu namanya menantea";0;0;0;0;in;71198182;1659108064056713216;sulingelektrik;https://twitter.com/sulingelektrik/status/1659227139152150529
Thu May 18 13:08:47 +0000 2023;1659184254411247616;"@heevluffy menantea enhypen😭";0;1;0;0;in;1297332431985315840;1659183459041173505;roseousz;https://twitter.com/roseousz/status/1659184254411247616
Thu May 18 12:23:22 +0000 2023;1659172825872343040;"@pyllalala integral tu menu nya menantea ngga si";0;1;0;0;in;1657514474776174593;1658786662061846530;faairytale23;https://twitter.com/faairytale23/status/1659172825872343040
Thu May 18 11:49:14 +0000 2023;1659164237170905091;"@indo_jleague Kapan nih Jerome Polin dengan Menantea nya koleb di sponsorship Rans FC";0;0;0;0;in;1035123714445082624;1659158863659270146;AchmadFilza;https://twitter.com/AchmadFilza/status/1659164237170905091
Thu May 18 10:46:07 +0000 2023;1659148352435499009;"Lowongan Kerja Semua Jurusan Terbaru Menantea Group Mei 2023 via @LiatBeritaNews https://t.co/dz97joIPVr";0;0;0;0;in;1359566092109180929;1659148352435499009;LiatBeritaNews;https://twitter.com/LiatBeritaNews/status/1659148352435499009
Thu May 18 03:00:01 +0000 2023;1659031053409845249;"Lowongan Kerja Menantea Group  Lihat info Selengkapnya: https://t.co/UNklEB47xN •";0;0;0;0;in;2753228456;1659031053409845249;openkerja;https://twitter.com/openkerja/status/1659031053409845249
Wed May 17 11:13:07 +0000 2023;1658792758910517248;"Btw, take a rest ya kak abis US. Gpp slr juga gue akan sll menantea😍 #bulol";0;0;0;0;in;1412315204382126084;1658792758910517248;volleyontoyou;https://twitter.com/volleyontoyou/status/1658792758910517248
Wed May 17 00:31:25 +0000 2023;1658631269159432197;"Lowongan Menantea  Untuk Informasi lebih lengkap dan pendaftaran silahkan cek di website https://t.co/Px2fbTlNqe  Info lebih update silahkan gabung ke channel telegram https://t.co/aw4TvoyinP  Link Pendaftaran : https://t.co/8HMlXESFFu  #lokertangerang #lokerjakarta https://t.co/6bpHae5ixj";0;1;0;2;in;1421359167877521410;1658631269159432197;TangerangLoker;https://twitter.com/TangerangLoker/status/1658631269159432197
